english,hebrew
the,ה
be,לִהיוֹת
and,ו
of,שֶׁל
a,א
in,ב
to,ל
have,יש
to,ל
it,זה
I,אני
that,זֶה
for,ל
you,אתה
he,הוא
with,עם
on,עַל
do,לַעֲשׂוֹת
s,ג
say,אמר
they,הֵם
this,זֶה
but,אבל
at,בְּ-
we,אָנוּ
his,שֶׁלוֹ
from,מ
that,זֶה
not,לֹא
n't,לא
by,על ידי
or,אוֹ
she,היא
as,כפי ש
what,מה
go,ללכת
their,שֶׁלָהֶם
will,רָצוֹן
who,WHO
can,פחית
get,לקבל
if,אם
all,את כל
would,היה
her,שֶׁלָה
make,עשה
about,על אודות
my,שֶׁלִי
know,לָדַעַת
as,כפי ש
there,שם
one,אחד
up,לְמַעלָה
time,זְמַן
year,שָׁנָה
so,כך
think,לַחשׁוֹב
see,לִרְאוֹת
which,איזה
when,מתי
some,כמה
them,אוֹתָם
people,אֲנָשִׁים
take,לקחת
me,לִי
out,הַחוּצָה
into,לְתוֹך
just,רַק
him,אוֹתוֹ
come,לבוא
your,שֶׁלְךָ
now,עַכשָׁיו
could,הָיָה יָכוֹל
than,מאשר
like,כמו
other,אַחֵר
then,לאחר מכן
how,אֵיך
its,שֶׁלָה
two,שתיים
our,שֶׁלָנוּ
more,יותר
these,אלה
want,רוצה
way,דֶרֶך
no,לא
look,תראה
first,ראשון
also,גַם
new,חָדָשׁ
because,כי
day,יְוֹם
more,יותר
use,להשתמש
man,איש
here,כאן
find,למצוא
give,לָתֵת
thing,דָבָר
well,נו
many,רב
only,רק
those,הָהֵן
tell,לאמר
very,מאוד
one,אחד
even,אֲפִילוּ
her,שֶׁלָה
back,חזור
any,כל
good,טוֹב
us,לָנוּ
through,דרך
woman,אִשָׁה
life,חַיִים
child,יֶלֶד
there,שם
down,מטה
work,עֲבוֹדָה
after,לאחר
call,שִׂיחָה
may,מאי
world,עוֹלָם
over,על
should,צריך
still,עוֹד
try,לְנַסוֹת
in,ב
school,בית ספר
as,כפי ש
last,אחרון
ask,לִשְׁאוֹל
too,גַם
need,צוֹרֶך
three,שְׁלוֹשָׁה
feel,להרגיש
when,מתי
become,הפכו
state,מדינה
never,לעולם לא
between,בֵּין
high,גָבוֹהַ
something,משהו
really,בֶּאֱמֶת
most,רוב
another,אַחֵר
much,הַרבֵּה
own,שֶׁלוֹ
family,מִשׁפָּחָה
out,הַחוּצָה
house,בַּיִת
leave,לעזוב
put,לָשִׂים
old,ישן
on,עַל
while,בזמן
mean,מתכוון
let,תן
why,למה
president,נָשִׂיא
keep,לִשְׁמוֹר
same,אותו
great,גדול
begin,התחל
big,גָדוֹל
seem,נראה
group,קְבוּצָה
country,מדינה
talk,דבר
problem,בְּעָיָה
where,איפה
turn,תור
student,סטוּדֶנט
every,כֹּל
hand,יד
help,עֶזרָה
against,נגד
start,הַתחָלָה
American,אֲמֶרִיקָאִי
part,חֵלֶק
show,הופעה
about,על אודות
over,על
might,אולי
such,כגון
place,מקום
again,שוב
city,עִיר
case,מקרה
most,רוב
few,מְעַטִים
system,מערכת
week,שָׁבוּעַ
where,איפה
company,חֶברָה
each,כל אחד
percent,אָחוּז
hear,לִשְׁמוֹעַ
so,כך
during,בְּמַהֲלָך
question,שְׁאֵלָה
right,ימין
program,תכנית
work,עֲבוֹדָה
run,לָרוּץ
number,מספר
small,קָטָן
government,מֶמְשָׁלָה
play,לְשַׂחֵק
off,כבוי
move,מהלך \ לזוז \ לעבור
like,כמו
always,תמיד
night,לַיְלָה
believe,לְהֶאֱמִין
today,היום
hold,לְהַחזִיק
point,נְקוּדָה
live,לחיות
happen,לִקְרוֹת
bring,לְהָבִיא
next,הַבָּא
without,לְלֹא
before,לפני
large,גָדוֹל
must,צריך
all,את כל
war,מִלחָמָה
home,בית
under,תַחַת
room,חֶדֶר
fact,עוּבדָה
area,אֵזוֹר
national,לאומי
write,לִכתוֹב
money,כֶּסֶף
right,ימין
story,כַּתָבָה
water,מים
mother,אִמָא
different,שונה
young,צָעִיר
month,חוֹדֶשׁ
lot,מִגרָשׁ
book,סֵפֶר
eye,עַיִן
study,לימוד
job,עבודה
kind,סוג
word,מִלָה
issue,נושא
side,צַד
four,ארבע
business,עֵסֶק
though,עם זאת
head,רֹאשׁ
far,רָחוֹק
long,ארוך
black,שָׁחוֹר
million,מִילִיוֹן
both,שניהם
little,קטן
yes,כן
after,לאחר
since,מאז
around,סְבִיב
long,ארוך
provide,לְסַפֵּק
service,שֵׁרוּת
important,חָשׁוּב
sit,לָשֶׁבֶת
away,רָחוֹק
friend,חבר
however,למרות זאת
power,כּוֹחַ
no,לא
yet,עדיין
father,אַבָּא
hour,שָׁעָה
often,לעתים קרובות
until,עד
political,פּוֹלִיטִי
line,קַו
end,סוֹף
stand,לַעֲמוֹד
among,בין
game,מִשְׂחָק
ever,אֵיִ פַּעַם
lose,לאבד
bad,רַע
member,חבר
meet,לִפְגוֹשׁ
pay,לְשַׁלֵם
law,חוֹק
almost,כִּמעַט
car,אוטו
later,מאוחר יותר
much,הַרבֵּה
name,שֵׁם
include,לִכלוֹל
five,חָמֵשׁ
center,מֶרְכָּז
once,פַּעַם
university,אוּנִיבֶרְסִיטָה
continue,לְהַמשִׁיך
least,הכי פחות
real,אמיתי
white,לבן
change,שינוי
set,מַעֲרֶכֶת
several,כַּמָה
ago,לִפנֵי
information,מֵידָע
nothing,שום דבר
community,קהילה
best,הטוב ביותר
right,ימין
idea,רַעְיוֹן
lead,עוֹפֶרֶת
body,גוּף
learn,לִלמוֹד
kid,יֶלֶד
minute,דַקָה
table,שולחן
whether,האם
understand,מבין
team,קְבוּצָה
back,חזור
watch,שעון
together,יַחַד
follow,לעקוב אחר
around,סְבִיב
only,רק
stop,תפסיק
face,פָּנִים
anything,כל דבר
public,פּוּמְבֵּי
social,חֶברָתִי
already,כְּבָר
parent,הוֹרֶה
speak,לְדַבֵּר
create,לִיצוֹר
office,מִשׂרָד
allow,להתיר
level,רָמָה
read,לקרוא
spend,לְבַלוֹת
person,אדם
door,דלת
sure,בטוח
add,לְהוֹסִיף
street,רְחוֹב
such,כגון
history,הִיסטוֹרִיָה
party,מפלגה
grow,לגדול
reason,סיבה
morning,בוקר
open,לִפְתוֹחַ
within,בְּתוֹך
change,שינוי
although,למרות ש
walk,לָלֶכֶת
news,חֲדָשׁוֹת
health,בְּרִיאוּת
court,בית משפט
force,כּוֹחַ
early,מוקדם
himself,עַצמוֹ
air,אוויר
low,נָמוּך
before,לפני
art,אומנות
result,תוֹצָאָה
moment,רֶגַע
offer,הַצָעָה
both,שניהם
remember,זכור
research,מחקר
enough,מספיק
girl,נערה
boy,יֶלֶד
win,לנצח
food,מזון
across,ברחבי
guy,בָּחוּר
second,שְׁנִיָה
able,יכול
toward,לקראת
maybe,אולי
process,תהליך
off,כבוי
everything,הכל
appear,לְהוֹפִיעַ
age,גיל
policy,מְדִינִיוּת
consider,לשקול
including,לְרַבּוֹת
probably,כנראה
education,חינוך
love,אהבה
actually,בעצם
buy,לִקְנוֹת
wait,לַחֲכוֹת
die,לָמוּת
human,בן אנוש
send,לִשְׁלוֹחַ
fee,תַשְׁלוּם
expect,לְצַפּוֹת
serve,לְשָׁרֵת
sense,לָחוּשׁ
teacher,מוֹרֶה
home,בית
market,שׁוּק
stay,שָׁהוּת
build,לִבנוֹת
nation,אוּמָה
fall,נפילה
oh,אה
death,מוות
plan,לְתַכְנֵן
interest,ריבית
someone,מִישֶׁהוּ
experience,ניסיון
cut,גזירה
kill,לַהֲרוֹג
behind,מֵאָחוֹר
reach,לְהַגִיעַ
six,שֵׁשׁ
local,מְקוֹמִי
remain,לְהִשָׁאֵר
effect,השפעה
suggest,לְהַצִיעַ
use,להשתמש
control,לִשְׁלוֹט
perhaps,אוּלַי
raise,הַעֲלָאָה
class,מעמד
late,מאוחר
little,קטן
major,גדול
yeah,כֵּן
else,אַחֵר
pass,לַעֲבוֹר
photo,תמונה
sell,מכירה
themselves,עצמם
field,שדה
college,מִכלָלָה
sometimes,לִפְעָמִים
former,לְשֶׁעָבַר
development,התפתחות
require,לִדרוֹשׁ
along,לְאוֹרֶך
decide,לְהַחלִיט
security,בִּטָחוֹן
up,לְמַעלָה
possible,אפשרי
effort,מַאֲמָץ
role,תַפְקִיד
better,טוב יותר
rate,ציון
strong,חָזָק
music,מוּסִיקָה
report,להגיש תלונה
leader,מַנהִיג
light,אוֹר
whole,כֹּל
voice,קוֹל
color,צֶבַע
heart,לֵב
care,לְטַפֵּל
police,מִשׁטָרָה
economic,כַּלְכָּלִי
wife,אשה
show,הופעה
mind,אכפת
report,להגיש תלונה
finally,סוף כל סוף
drug,תְרוּפָה
less,פָּחוּת
return,לַחֲזוֹר
according,לפי
pull,מְשׁוֹך
decision,הַחְלָטָה
explain,להסביר
carry,לשאת
develop,לְפַתֵחַ
view,נוף
free,חינם
hope,לְקַווֹת
even,אֲפִילוּ
drive,נהיגה
son,בֵּן
arm,זְרוֹעַ
department,מַחלָקָה
TRUE,נָכוֹן
price,מחיר
military,צבאי
federal,פדרלי
